-----------------------------------------------------------------------------------
Name, Density, Temperature, Viscosity, Light Level, Rarity, Lighter Than Air, Block
create_dd:flowing_caramel_milkshake, 1400, 300, 1500, 0, COMMON, false, create_dd:caramel_milkshake
create_dd:flowing_chocolate_milkshake, 1400, 300, 1500, 0, COMMON, false, create_dd:chocolate_milkshake
create_dd:flowing_condense_milk, 1400, 300, 1500, 0, COMMON, false, create_dd:condense_milk
create_dd:flowing_cream, 1400, 300, 1500, 0, COMMON, false, create_dd:cream
create_dd:flowing_glowberry, 1400, 300, 1500, 0, COMMON, false, create_dd:glowberry
create_dd:flowing_glowberry_milkshake, 1400, 300, 1500, 0, COMMON, false, create_dd:glowberry_milkshake
create_dd:flowing_hot_chocolate, 1400, 300, 1500, 0, COMMON, false, create_dd:hot_chocolate
create_dd:flowing_strawberry, 1400, 300, 1500, 0, COMMON, false, create_dd:strawberry
create_dd:flowing_strawberry_milkshake, 1400, 300, 1500, 0, COMMON, false, create_dd:strawberry_milkshake
create_dd:flowing_vanilla, 1400, 300, 1500, 0, COMMON, false, create_dd:vanilla
create_dd:flowing_vanilla_milkshake, 1400, 300, 1500, 0, COMMON, false, create_dd:vanilla_milkshake
create_dd:glowberry, 1400, 300, 1500, 0, COMMON, false, create_dd:glowberry
create_dd:glowberry_milkshake, 1400, 300, 1500, 0, COMMON, false, create_dd:glowberry_milkshake
create_dd:hot_chocolate, 1400, 300, 1500, 0, COMMON, false, create_dd:hot_chocolate
create_dd:strawberry, 1400, 300, 1500, 0, COMMON, false, create_dd:strawberry
create_dd:strawberry_milkshake, 1400, 300, 1500, 0, COMMON, false, create_dd:strawberry_milkshake
create_dd:vanilla, 1400, 300, 1500, 0, COMMON, false, create_dd:vanilla
create_dd:vanilla_milkshake, 1400, 300, 1500, 0, COMMON, false, create_dd:vanilla_milkshake
create_enchantment_industry:experience, 1000, 300, 1000, 15, COMMON, false, -
create_enchantment_industry:flowing_experience, 1000, 300, 1000, 15, COMMON, false, -
create_enchantment_industry:flowing_hyper_experience, 1000, 300, 1000, 15, COMMON, false, -
create_enchantment_industry:flowing_ink, 1000, 300, 1000, 0, COMMON, false, create_enchantment_industry:ink
create_enchantment_industry:hyper_experience, 1000, 300, 1000, 15, COMMON, false, -
create_enchantment_industry:ink, 1000, 300, 1000, 0, COMMON, false, create_enchantment_industry:ink
create_paper_line:flowing_whitened_wood_pulp, 1000, 300, 1000, 0, COMMON, false, -
create_paper_line:flowing_wood_pulp, 1000, 300, 1000, 0, COMMON, false, -
create_paper_line:whitened_wood_pulp, 1000, 300, 1000, 0, COMMON, false, -
create_paper_line:wood_pulp, 1000, 300, 1000, 0, COMMON, false, -
create_things_and_misc:diluted_bonemeal, 1000, 300, 1000, 0, COMMON, false, create_things_and_misc:diluted_bonemeal
create_things_and_misc:flowing_diluted_bonemeal, 1000, 300, 1000, 0, COMMON, false, create_things_and_misc:diluted_bonemeal
create_things_and_misc:flowing_slime, 1000, 300, 1000, 0, COMMON, false, create_things_and_misc:slime
create_things_and_misc:slime, 1000, 300, 1000, 0, COMMON, false, create_things_and_misc:slime
createaddition:bioethanol, 1600, 300, 2500, 0, COMMON, false, createaddition:bioethanol
createaddition:flowing_bioethanol, 1600, 300, 2500, 0, COMMON, false, createaddition:bioethanol
createaddition:flowing_seed_oil, 1400, 300, 2000, 0, COMMON, false, createaddition:seed_oil
createaddition:seed_oil, 1400, 300, 2000, 0, COMMON, false, createaddition:seed_oil
createindustry:butane, 1000, 300, 1000, 0, COMMON, false, -
createindustry:carbon_dioxide, 1000, 300, 1000, 0, COMMON, false, -
createindustry:crude_oil_fluid, 1000, 300, 1000, 0, COMMON, false, createindustry:crude_oil_fluid
createindustry:diesel, 1000, 300, 1000, 0, COMMON, false, createindustry:diesel
createindustry:ethylene, 1000, 300, 1000, 0, COMMON, false, -
createindustry:flowing_butane, 1000, 300, 1000, 0, COMMON, false, -
createindustry:flowing_carbon_dioxide, 1000, 300, 1000, 0, COMMON, false, -
createindustry:flowing_crude_oil_fluid, 1000, 300, 1000, 0, COMMON, false, createindustry:crude_oil_fluid
createindustry:flowing_diesel, 1000, 300, 1000, 0, COMMON, false, createindustry:diesel
createindustry:flowing_ethylene, 1000, 300, 1000, 0, COMMON, false, -
createindustry:flowing_gasoline, 1000, 300, 1000, 0, COMMON, false, createindustry:gasoline
createindustry:flowing_heavy_oil, 1000, 300, 1000, 0, COMMON, false, createindustry:heavy_oil
createindustry:flowing_kerosene, 1000, 300, 1000, 0, COMMON, false, createindustry:kerosene
createindustry:flowing_liquid_concrete_fluid, 1000, 300, 1000, 0, COMMON, false, -
createindustry:flowing_liquid_plastic, 1000, 300, 1500, 0, COMMON, false, createindustry:liquid_plastic
createindustry:flowing_lpg, 1000, 300, 1000, 0, COMMON, false, -
createindustry:flowing_lubrication_oil, 1000, 300, 1000, 0, COMMON, false, createindustry:lubrication_oil
createindustry:flowing_napalm, 1000, 300, 1000, 0, COMMON, false, createindustry:napalm
createindustry:flowing_naphtha, 1000, 300, 1000, 0, COMMON, false, createindustry:naphtha
createindustry:flowing_propane, 1000, 300, 1000, 0, COMMON, false, -
createindustry:flowing_propylene, 1000, 300, 1000, 0, COMMON, false, -
createindustry:gasoline, 1000, 300, 1000, 0, COMMON, false, createindustry:gasoline
createindustry:heavy_oil, 1000, 300, 1000, 0, COMMON, false, createindustry:heavy_oil
createindustry:kerosene, 1000, 300, 1000, 0, COMMON, false, createindustry:kerosene
createindustry:liquid_concrete_fluid, 1000, 300, 1000, 0, COMMON, false, -
createindustry:liquid_plastic, 1000, 300, 1500, 0, COMMON, false, createindustry:liquid_plastic
createindustry:lpg, 1000, 300, 1000, 0, COMMON, false, -
createindustry:lubrication_oil, 1000, 300, 1000, 0, COMMON, false, createindustry:lubrication_oil
createindustry:napalm, 1000, 300, 1000, 0, COMMON, false, createindustry:napalm
createindustry:naphtha, 1000, 300, 1000, 0, COMMON, false, createindustry:naphtha
createindustry:propane, 1000, 300, 1000, 0, COMMON, false, -
createindustry:propylene, 1000, 300, 1000, 0, COMMON, false, -
decorative_blocks:flowing_thatch, 200, 300, 2000, 0, COMMON, false, decorative_blocks:thatch
decorative_blocks:thatch, 200, 300, 2000, 0, COMMON, false, decorative_blocks:thatch
kubejs:biomethane, 1000, 300, 1000, 0, COMMON, false, kubejs:biomethane
kubejs:black_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:black_dye_fluid
kubejs:blue_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:blue_dye_fluid
kubejs:brine, 1000, 300, 1000, 0, COMMON, false, kubejs:brine
kubejs:brown_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:brown_dye_fluid
kubejs:chlorine, 1000, 300, 1000, 0, COMMON, false, kubejs:chlorine
kubejs:cyan_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:cyan_dye_fluid
kubejs:flowing_biomethane, 1000, 300, 1000, 0, COMMON, false, kubejs:biomethane
kubejs:flowing_black_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:black_dye_fluid
kubejs:flowing_blue_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:blue_dye_fluid
kubejs:flowing_brine, 1000, 300, 1000, 0, COMMON, false, kubejs:brine
kubejs:flowing_brown_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:brown_dye_fluid
kubejs:flowing_chlorine, 1000, 300, 1000, 0, COMMON, false, kubejs:chlorine
kubejs:flowing_cyan_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:cyan_dye_fluid
kubejs:flowing_gray_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:gray_dye_fluid
kubejs:flowing_green_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:green_dye_fluid
kubejs:flowing_light_blue_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:light_blue_dye_fluid
kubejs:flowing_light_gray_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:light_gray_dye_fluid
kubejs:flowing_lime_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:lime_dye_fluid
kubejs:flowing_magenta_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:magenta_dye_fluid
kubejs:flowing_methyl_chloride, 1000, 300, 1000, 0, COMMON, false, kubejs:methyl_chloride
kubejs:flowing_molten_brass, 1000, 300, 1000, 0, COMMON, false, -
kubejs:flowing_molten_bronze, 1000, 300, 1000, 0, COMMON, false, -
kubejs:flowing_molten_cast_iron, 1000, 300, 1000, 0, COMMON, false, -
kubejs:flowing_molten_copper, 1000, 300, 1000, 0, COMMON, false, -
kubejs:flowing_molten_diamond, 1000, 300, 1000, 0, COMMON, false, -
kubejs:flowing_molten_emerald, 1000, 300, 1000, 0, COMMON, false, -
kubejs:flowing_molten_gold, 1000, 300, 1000, 0, COMMON, false, -
kubejs:flowing_molten_iron, 1000, 300, 1000, 0, COMMON, false, -
kubejs:flowing_molten_powdered_obsidian, 1000, 300, 1000, 0, COMMON, false, -
kubejs:flowing_molten_redstone, 1000, 300, 1000, 0, COMMON, false, -
kubejs:flowing_molten_steel, 1000, 300, 1000, 0, COMMON, false, -
kubejs:flowing_molten_tin, 1000, 300, 1000, 0, COMMON, false, -
kubejs:flowing_molten_zinc, 1000, 300, 1000, 0, COMMON, false, -
kubejs:flowing_orange_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:orange_dye_fluid
kubejs:flowing_pink_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:pink_dye_fluid
kubejs:flowing_purple_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:purple_dye_fluid
kubejs:flowing_red_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:red_dye_fluid
kubejs:flowing_white_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:white_dye_fluid
kubejs:flowing_yellow_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:yellow_dye_fluid
kubejs:gray_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:gray_dye_fluid
kubejs:green_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:green_dye_fluid
kubejs:light_blue_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:light_blue_dye_fluid
kubejs:light_gray_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:light_gray_dye_fluid
kubejs:lime_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:lime_dye_fluid
kubejs:magenta_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:magenta_dye_fluid
kubejs:methyl_chloride, 1000, 300, 1000, 0, COMMON, false, kubejs:methyl_chloride
kubejs:molten_brass, 1000, 300, 1000, 0, COMMON, false, -
kubejs:molten_bronze, 1000, 300, 1000, 0, COMMON, false, -
kubejs:molten_cast_iron, 1000, 300, 1000, 0, COMMON, false, -
kubejs:molten_copper, 1000, 300, 1000, 0, COMMON, false, -
kubejs:molten_diamond, 1000, 300, 1000, 0, COMMON, false, -
kubejs:molten_emerald, 1000, 300, 1000, 0, COMMON, false, -
kubejs:molten_gold, 1000, 300, 1000, 0, COMMON, false, -
kubejs:molten_iron, 1000, 300, 1000, 0, COMMON, false, -
kubejs:molten_powdered_obsidian, 1000, 300, 1000, 0, COMMON, false, -
kubejs:molten_redstone, 1000, 300, 1000, 0, COMMON, false, -
kubejs:molten_steel, 1000, 300, 1000, 0, COMMON, false, -
kubejs:molten_tin, 1000, 300, 1000, 0, COMMON, false, -
kubejs:molten_zinc, 1000, 300, 1000, 0, COMMON, false, -
kubejs:orange_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:orange_dye_fluid
kubejs:pink_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:pink_dye_fluid
kubejs:purple_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:purple_dye_fluid
kubejs:red_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:red_dye_fluid
kubejs:white_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:white_dye_fluid
kubejs:yellow_dye_fluid, 1000, 300, 1000, 0, COMMON, false, kubejs:yellow_dye_fluid
minecraft:empty, 0, 0, 0, 0, COMMON, true, -
minecraft:flowing_lava, 3000, 1300, 6000, 15, COMMON, false, minecraft:lava
minecraft:flowing_milk, 1024, 300, 1024, 0, COMMON, false, -
minecraft:flowing_water, 1000, 300, 1000, 0, COMMON, false, minecraft:water
minecraft:lava, 3000, 1300, 6000, 15, COMMON, false, minecraft:lava
minecraft:milk, 1024, 300, 1024, 0, COMMON, false, -
minecraft:water, 1000, 300, 1000, 0, COMMON, false, minecraft:water
sliceanddice:fertilizer, 1000, 300, 1000, 0, COMMON, false, sliceanddice:fertilizer
sliceanddice:flowing_fertilizer, 1000, 300, 1000, 0, COMMON, false, sliceanddice:fertilizer
sophisticatedcore:xp_flowing, 800, 300, 1500, 10, COMMON, false, -
sophisticatedcore:xp_still, 800, 300, 1500, 10, COMMON, false, -
-----------------------------------------------------------------------------------
Name, Density, Temperature, Viscosity, Light Level, Rarity, Lighter Than Air, Block
-----------------------------------------------------------------------------------
